,0,1,2,3
142,158,175,1048,981
143,228,753,513,987
144,116,174,836,795
145,276,233,1044,857
146,398,549,807,888
147,145,531,588,921
148,60,74,649,534
149,83,112,1023,873
150,244,163,544,422
151,243,119,1062,858
152,810,588,1031,766
153,253,51,627,348
154,343,119,779,540
155,310,460,781,1036
156,413,42,1045,597
157,669,599,1009,869
158,231,75,998,667
159,46,49,737,675
160,242,264,999,886
161,27,287,739,901
162,676,443,1056,752
163,563,632,826,850
164,165,130,1004,869
165,196,325,874,854
166,25,98,956,852
167,168,736,489,1013
168,57,98,645,629
169,295,568,684,882
170,14,474,347,738
171,334,542,781,973
172,360,85,926,777
173,148,329,752,859
174,147,227,977,885
175,445,433,1010,869
176,70,173,712,754
177,66,331,286,512
178,31,276,539,714
179,404,388,831,735
180,343,316,548,486
181,333,346,898,844
182,385,358,920,775
183,564,280,952,594
184,231,398,880,958
185,207,174,1001,891
186,99,31,620,452
187,600,137,921,392
188,293,327,543,568
189,482,172,1029,841
190,844,530,1046,707
191,426,59,1064,564
192,389,623,828,961
193,130,36,1060,877
194,187,272,776,756
195,38,86,554,531
196,19,445,279,656
197,219,42,911,616
198,717,165,937,359
199,306,263,626,513
200,217,39,925,612
201,660,388,903,597
202,181,45,978,765
203,283,520,792,931
204,684,42,1050,332
205,176,173,399,388
206,220,87,824,825
207,277,325,592,602
208,51,750,337,977
209,281,307,905,788
210,324,540,640,826
211,395,24,983,507
212,116,177,979,921
213,122,25,898,655
214,101,201,967,919
215,28,25,958,844
216,57,846,200,957
217,296,118,911,616
218,262,253,945,843
219,492,334,1002,795
220,97,366,552,734
221,168,53,614,407
222,705,148,958,392
223,410,333,604,570
224,674,256,929,479
225,15,92,723,653
226,238,155,885,654
227,83,245,847,937
228,109,354,714,851
229,500,471,956,864
230,68,231,314,431
231,369,420,984,930
232,407,539,868,945
233,292,157,607,403
234,356,104,1062,675
235,601,398,808,577
236,145,228,979,981
237,717,94,988,313
238,65,58,337,273
239,480,70,862,438
240,10,187,496,781
241,24,623,266,835
242,98,290,869,900
243,471,21,1018,443
244,166,99,1009,862
245,178,142,665,542
246,433,423,822,758
247,328,88,963,603
248,248,458,779,898
249,220,12,820,540
250,478,619,804,873
251,135,197,843,770
252,92,276,352,501
253,374,13,999,577
254,467,231,1007,667
255,272,249,628,531
256,563,293,900,618
257,300,605,668,1055
258,103,382,777,974
259,17,75,694,611
260,109,572,520,889
261,220,181,905,801
262,39,313,782,923
263,560,60,813,278
264,181,219,910,811
265,248,168,979,774
266,421,463,932,913
267,407,390,675,599
268,512,159,932,499
269,142,214,822,801
270,107,145,616,604
271,512,361,1058,802
272,261,362,762,759
273,100,57,305,255
274,97,160,404,535
275,39,215,401,533
276,309,582,680,876
277,342,179,1041,719
278,18,111,948,952
279,121,263,487,564
280,253,87,872,620
281,292,253,849,706
282,175,99,1068,839
283,24,82,416,427
284,33,445,581,873
285,192,174,750,625
286,190,366,887,968
287,513,725,841,1021
288,52,195,513,567
289,491,635,861,928
290,245,32,949,711
291,437,168,1044,910
292,140,118,861,751
293,177,100,1028,775
294,549,56,1060,450
295,379,280,889,741
296,642,118,985,400
297,358,77,993,624
298,417,443,981,901
299,217,55,503,292
300,433,150,1010,658
301,205,413,823,896
302,20,95,963,859
303,471,804,673,978
304,203,459,721,927
305,506,594,861,880
306,733,290,922,440
307,710,265,904,452
308,458,321,990,972
309,526,611,754,811
310,27,60,757,638
311,291,151,983,685
312,18,44,362,356
313,175,184,990,854
314,279,661,515,865
315,97,246,914,909
316,524,371,955,728
317,120,341,808,947
318,331,400,857,810
319,502,95,999,497
320,303,216,999,817
321,15,439,197,603
322,557,595,919,887
323,84,266,413,527
324,254,79,959,759
325,360,709,552,944
326,23,413,441,780
327,411,281,687,499
328,61,83,699,575
329,110,38,784,648
330,49,197,782,799
331,160,321,596,697
332,667,292,1034,590
333,553,293,1009,671
334,379,159,1053,752
335,54,230,702,736
336,131,62,970,741
337,567,593,931,907
338,30,262,222,435
339,250,287,817,745
340,706,156,844,266
341,124,359,823,1033
342,79,216,705,981
343,843,214,1020,369
344,184,35,563,335
345,97,109,834,678
346,162,70,877,717
347,545,501,1059,923
348,273,57,1034,713
349,410,421,972,877
350,78,97,918,793
351,107,124,844,774
352,416,395,605,542
353,116,160,1019,890
354,620,74,1065,458
355,666,592,928,828
356,396,453,882,845
357,172,71,481,316
358,298,434,875,990
359,515,325,885,778
360,202,126,1006,832
361,106,262,412,504
362,95,189,949,848
363,31,36,984,899
364,127,293,900,928
365,348,340,984,888
366,14,349,558,790
367,746,479,970,665
368,18,18,919,812
369,133,180,759,668
370,147,116,1020,822
371,76,144,973,918
372,420,338,1034,892
373,100,533,491,849
374,93,468,218,567
375,399,84,987,651
376,601,639,998,1124
377,207,341,689,764
378,389,124,618,305
379,28,27,1064,826
380,190,213,1011,956
381,164,298,897,900
382,174,79,986,779
383,134,207,995,906
384,102,129,736,655
385,152,58,1020,823
386,22,796,274,993
387,29,45,881,735
388,51,35,905,772
389,168,172,973,899
390,391,519,653,730
391,186,794,419,979
392,871,284,1041,448
393,42,151,188,330
394,255,219,933,814
395,291,13,679,320
396,191,320,937,896
397,147,338,666,808
398,193,182,990,837
399,213,171,1064,904
400,216,620,520,867
401,119,775,327,947
402,58,116,867,829
403,271,327,694,657
404,60,182,501,539
405,14,46,850,768
406,74,76,782,716
407,204,67,818,562
408,280,408,617,675
409,46,715,353,1011
410,424,227,964,888
411,123,66,606,490
412,214,230,852,735
413,535,639,906,925
414,61,200,525,620
415,153,434,670,859
416,50,618,275,812
417,117,342,776,877
418,280,77,530,284
419,495,445,983,875
420,168,211,581,533
421,74,82,1002,833
422,103,511,453,813
423,546,315,947,677
424,20,173,258,365
425,565,24,952,331
426,783,63,1012,283
427,529,475,875,898
428,675,382,1038,700
429,24,245,822,877
430,108,273,697,727
431,255,16,757,470
432,310,556,669,851
433,162,69,734,562
434,84,32,358,255
435,227,195,651,546
436,278,317,898,863
437,21,426,312,653
438,260,165,975,744
439,264,781,493,979
440,159,607,497,912
441,362,220,1018,749
442,239,308,657,639
443,566,156,1014,588
444,548,802,747,1045
445,521,61,938,427
446,68,336,726,857
447,95,361,326,539
448,332,106,900,621
449,56,145,671,651
450,807,674,1056,889
451,467,478,1023,929
452,50,13,841,669
453,79,36,982,832
454,763,28,1003,215
455,77,41,986,777
456,419,308,843,674
457,249,117,872,679
458,315,153,892,619
459,470,262,945,638
460,391,199,675,473
461,905,606,1064,800
462,50,184,480,562
463,428,510,827,826
464,71,72,1061,836
465,111,125,1049,974
466,226,447,734,865
467,309,29,794,447
468,73,111,808,708
469,643,18,891,223
470,176,222,840,807
471,225,223,915,761
472,210,470,576,766
473,29,131,865,852
474,255,97,1032,799
475,244,289,948,857
476,691,312,1066,610
477,207,61,855,686
478,24,455,224,699
479,518,403,837,683
480,270,152,702,495
481,257,74,982,634
482,25,525,461,919
483,607,247,800,406
484,269,642,683,999
485,121,554,314,711
486,835,186,1051,365
487,103,242,762,822
488,418,510,950,925
489,134,80,966,754
490,608,461,840,661
491,729,338,1002,585
492,173,268,879,838
493,361,594,688,854
494,32,260,725,928
495,705,505,1009,876
496,367,476,838,889
497,144,238,656,643
498,35,200,656,679
499,330,14,982,604
500,656,515,954,760
501,154,224,743,732
502,118,69,991,778
503,52,218,729,779
504,30,242,725,854
505,91,358,620,771
506,242,41,938,604
507,17,376,445,745
508,181,79,691,540
509,171,364,703,794
510,533,460,880,735
511,503,251,954,686
512,20,224,652,996
513,337,149,1011,741
514,76,83,1014,826
515,15,21,1059,826
516,94,134,910,873
517,13,387,351,664
518,34,138,883,870
519,222,377,414,533
520,435,37,665,228
521,38,57,999,903
522,445,656,849,971
523,333,18,971,534
524,283,357,962,943
525,24,162,492,585
526,457,314,941,704
527,260,853,366,937
528,78,106,713,718
529,681,457,936,769
530,344,430,612,665
531,563,139,789,318
532,249,249,662,568
533,446,632,827,977
534,182,190,992,855
535,42,514,514,921
536,332,90,886,540
537,431,188,805,498
538,370,559,649,805
539,240,228,921,759
540,514,62,809,300
541,30,70,895,817
542,724,385,943,583
543,188,496,509,755
544,617,788,856,978
545,588,459,1006,862
546,331,160,858,805
547,208,451,578,776
548,184,169,1057,860
549,34,54,974,779
550,224,161,1057,915
551,338,80,987,613
552,44,483,414,802
553,74,137,759,693
554,167,169,1056,906
555,166,61,698,530
556,439,95,863,426
557,255,40,939,593
558,68,654,339,888
559,220,160,700,593
560,22,279,582,731
561,362,192,592,374
562,279,86,576,372
563,536,133,809,467
564,384,565,639,789
565,579,92,923,365
566,105,581,508,892
567,270,139,1022,820
568,192,227,776,707
569,128,234,830,839
570,180,69,517,343
571,254,194,1037,843
572,409,314,715,584
573,525,614,908,913
574,314,100,833,520
575,161,568,494,855
576,548,495,1061,958
577,306,144,860,591
578,76,44,536,409
579,388,481,569,655
580,422,699,708,1048
581,332,357,624,613
582,164,51,715,487
583,161,214,985,850
584,94,97,862,792
585,632,273,1004,578
586,67,453,459,791
587,73,38,937,740
588,35,80,969,854
589,474,134,823,442
590,867,299,1059,449
591,595,599,969,901
592,551,111,1052,543
593,200,158,742,647
594,664,174,834,311
595,507,365,755,561
596,103,40,799,711
597,696,465,878,688
598,404,180,994,698
599,85,168,846,771
600,611,440,880,648
601,48,118,812,809
602,56,302,682,816
603,193,421,762,912
604,568,25,851,255
605,378,137,955,615
606,309,82,1051,736
607,305,355,946,855
608,448,536,980,966
609,537,658,787,873
610,354,368,989,942
611,85,637,507,978
612,492,642,751,848
613,118,75,541,483
614,68,393,218,576
615,149,570,567,937
616,495,240,912,570
617,470,402,740,610
618,248,105,1069,848
619,290,220,878,703
620,226,177,736,617
621,21,94,729,669
622,63,797,268,967
623,35,66,715,665
624,86,100,471,400
625,113,396,593,785
626,110,55,980,806
627,376,487,710,788
628,515,292,993,678
629,352,447,476,545
630,19,45,215,234
631,220,300,837,1055
632,435,89,1032,613
633,255,494,593,762
634,15,79,314,310
635,54,118,1005,978
636,635,423,957,687
637,450,504,963,946
638,104,46,959,740
639,256,182,884,702
640,243,291,775,759
641,428,635,765,898
642,60,102,736,649
643,120,59,977,798
644,303,62,896,597
645,185,450,710,873
646,663,450,894,633
647,286,198,1038,923
648,166,317,809,1104
649,412,207,1024,744
650,409,359,752,631
651,204,359,543,620
652,48,399,374,694
653,419,340,1042,852
654,272,76,1030,730
655,27,10,278,214
656,340,254,888,708
657,297,56,783,484
658,399,279,949,708
659,14,123,364,406
660,565,231,877,500
661,443,644,794,960
662,82,306,596,721
663,153,355,574,689
664,670,308,1065,689
665,466,538,810,958
666,160,233,635,650
667,590,318,978,625
668,126,124,1061,845
669,329,302,844,768
670,143,37,731,520
671,96,167,529,540
672,285,39,895,534
673,353,168,762,507
674,120,298,404,548
675,224,139,533,380
676,336,468,661,731
677,418,281,866,667
678,203,304,858,895
679,219,319,916,882
680,173,220,396,396
681,33,259,805,1004
682,271,117,528,431
683,454,341,723,577
684,216,148,949,729
685,364,296,734,582
686,297,421,876,945
687,273,124,897,637
688,82,17,622,483
689,391,89,882,488
690,778,557,1059,790
691,236,126,1063,854
692,398,454,984,911
693,38,155,894,848
694,710,624,1067,932
695,258,362,798,850
696,169,177,820,702
697,748,63,932,209
698,125,148,490,500
699,258,19,680,535
700,493,344,973,765
701,151,110,901,704
702,47,10,1049,783
703,143,327,852,968
704,380,228,1009,745
705,73,91,788,708
706,213,117,1018,771
707,103,151,999,893
708,493,431,997,875
709,414,434,987,881
710,86,12,962,721
711,815,828,1054,1034
712,209,134,1046,889
713,210,446,767,896
714,29,517,475,871
715,52,335,365,637
716,505,244,700,482
717,143,175,432,429
718,332,372,574,564
719,146,45,1054,745
720,221,532,693,960
721,183,362,730,811
722,192,206,513,483
723,189,44,1046,740
724,323,357,863,804
725,270,140,999,782
726,242,113,913,637
727,305,77,551,276
728,452,17,980,472
729,562,539,985,920
730,158,362,772,858
731,270,115,651,417
732,352,390,766,789
733,236,64,604,514
734,103,417,680,923
735,287,175,891,653
736,109,282,662,708
737,242,728,476,940
738,154,128,368,304
739,622,648,1009,982
740,122,128,981,826
741,589,185,1029,550
742,203,462,605,816
743,241,422,696,777
744,601,63,1013,397
745,176,153,1009,872
746,234,568,605,903
747,115,323,736,824
748,296,875,475,1017
749,345,374,988,994
750,197,189,637,727
751,333,53,1049,682
752,142,96,1032,801
753,48,33,1068,820
754,351,66,745,422
755,106,377,521,718
756,651,160,858,339
757,484,40,710,223
758,33,226,866,916
759,54,133,976,945
760,197,271,522,525
761,264,639,470,806
762,485,693,778,946
763,189,712,489,983
764,463,180,704,374
765,478,347,650,484
766,507,32,722,240
767,292,230,808,861
768,227,220,864,779
769,70,397,503,740
770,30,118,553,522
771,57,162,849,879
772,229,219,778,670
773,532,260,1001,665
774,468,208,1061,689
775,316,185,1016,765
776,103,73,873,751
777,587,66,762,202
778,390,459,884,858
779,214,756,410,925
780,385,325,763,667
781,380,452,690,702
782,386,537,632,732
783,606,402,910,695
784,415,646,598,870
785,44,478,302,704
786,95,135,911,781
787,67,110,955,795
788,49,326,775,983
789,761,751,1011,956
790,588,327,1063,737
791,80,506,480,831
792,113,171,349,367
793,207,209,1061,961
794,255,87,588,347
795,293,473,655,766
796,158,465,732,961
797,147,656,481,957
798,520,429,954,779
799,501,385,636,492
800,679,469,1002,780
801,392,448,797,944
802,113,413,433,694
803,220,100,904,642
804,27,74,1009,832
805,71,599,473,963
806,189,368,489,614
807,468,722,663,890
808,129,526,540,860
809,52,232,824,872
810,179,22,1019,762
811,488,355,754,563
812,148,20,1036,739
813,363,377,1041,962
814,358,15,971,569
815,481,418,773,653
816,127,31,282,154
817,371,205,656,480
818,262,298,844,1010
819,578,468,1049,881
820,56,198,829,810
821,117,110,877,696
822,41,76,976,923
823,610,280,931,544
824,71,62,901,777
825,421,23,911,421
826,24,75,676,615
827,102,221,892,917
828,99,189,770,713
829,271,175,990,757
830,390,287,931,754
831,314,359,968,949
832,499,188,973,570
833,563,61,871,305
834,156,101,891,810
835,91,623,281,855
836,27,353,624,877
837,449,505,774,762
838,254,494,753,879
839,779,247,1066,507
840,380,482,912,919
841,83,145,934,879
842,704,735,914,905
843,59,10,811,633
844,76,110,845,787
845,187,220,498,463
846,170,457,782,952
847,437,52,956,500
848,306,230,672,560
849,342,438,779,791
850,77,720,290,889
851,531,388,997,838
852,386,326,925,985
853,166,284,597,663
854,209,797,439,979
855,178,224,871,758
856,34,577,341,855
857,276,441,892,947
858,389,601,638,816
859,368,116,759,433
860,475,311,1046,784
861,18,10,1061,928
862,268,269,905,766
863,142,98,1028,815
864,144,92,474,377
865,387,152,640,380
866,343,80,1040,643
867,645,462,993,738
868,77,165,844,905
869,313,168,935,928
870,291,59,773,482
871,93,257,780,802
872,6,-4,1091,833
873,159,376,785,943
874,131,141,626,548
875,180,705,410,903
876,592,31,933,308
877,81,173,966,907
878,78,232,869,928
879,596,287,782,432
880,38,68,918,780
881,398,304,993,817
882,593,137,1043,543
883,98,348,389,583
884,74,115,573,511
885,417,197,955,716
886,688,309,946,625
887,597,421,859,651
888,278,182,968,728
889,53,278,688,768
890,116,602,464,917
891,250,726,424,869
892,359,409,741,738
893,443,315,670,499
894,387,116,740,408
895,218,48,1051,782
896,413,625,844,961
897,112,190,482,489
898,300,485,870,977
899,404,438,648,658
900,518,499,766,699
901,143,548,447,789
902,620,451,983,801
903,473,424,1036,1112
904,246,173,935,778
905,108,77,1023,802
906,138,577,452,819
907,349,441,883,924
908,184,377,551,678
909,468,485,904,861
910,228,254,879,782
911,107,258,637,697
912,119,353,684,851
913,476,544,978,935
914,149,389,428,615
915,268,443,794,897
916,594,490,913,778
917,187,66,801,562
918,716,124,881,255
919,620,132,1057,553
920,377,84,861,675
921,312,810,490,967
922,43,260,533,648
923,548,595,838,819
924,33,18,937,836
925,402,273,888,672
926,61,92,885,802
927,712,567,973,779
928,136,702,490,995
929,192,257,609,624
930,650,721,995,991
931,282,246,522,440
932,213,149,956,790
933,334,70,974,648
934,26,291,724,855
935,15,778,148,883
936,69,37,837,778
937,552,138,796,436
938,47,428,599,913
939,15,727,334,980
940,94,173,909,802
941,100,294,532,685
942,406,325,1055,858
943,670,28,914,239
944,273,181,958,737
945,249,157,733,558
946,264,120,623,437
947,598,570,950,845
948,260,310,864,799
949,78,16,919,741
950,482,249,793,529
951,328,226,946,725
952,639,78,1022,382
953,90,166,537,598
954,486,394,970,986
955,69,101,494,474
956,13,89,605,558
957,510,485,834,735
958,136,173,965,924
959,254,322,956,899
960,165,472,721,952
961,373,254,1045,799
962,150,164,840,736
963,399,607,831,988
964,309,184,922,662
965,151,388,768,887
966,169,153,955,831
967,520,671,863,980
968,341,48,969,555
969,864,328,1038,466
970,834,266,1003,429
971,314,289,769,846
972,84,500,404,781
973,100,79,1063,842
974,458,585,804,852
975,66,196,825,883
976,736,578,1011,804
977,403,378,907,812
978,693,280,913,458
979,63,492,350,730
980,40,30,1038,909
981,748,465,978,645
982,85,271,508,613
983,534,797,732,968
984,119,89,938,828
985,733,530,930,689
986,107,497,545,844
987,440,346,964,852
988,186,170,614,693
989,106,667,474,991
990,457,347,1010,785
991,17,46,702,575
992,531,527,737,714
993,448,454,743,696
994,437,176,827,512
995,134,254,792,788
996,60,168,953,908
997,363,394,801,780
998,398,90,885,470
999,109,33,829,616
